대흥(서강대앞),17191,17146,24132,44252
공덕,22846,41999,34097,109679
효창공원앞,18646,8710,28744,28783
삼각지,9341,15583,14989,30537
녹사평(용산구청),5534,10242,8471,18251
이태원,9860,12230,15107,32125
한강진,3633,23038,5972,46295
버티고개,5691,2581,8549,5765
약수,5084,6433,8097,17458
청구,8001,7319,11029,24708
신당,7809,17542,12767,39952
동묘앞,10899,8472,16490,26223
창신,16115,7548,18312,7339
보문,24489,10937,36815,21676
안암(고대병원앞),10289,19293,14013,68715
고려대(종암),23267,12862,29607,33811
월곡(동덕여대),44948,8365,52246,33411
상월곡(한국과학기술연구원),27224,3875,30973,15342
돌곶이,43157,5981,46085,19259
석계,53573,8876,59367,18055
태릉입구,19566,4417,23923,11798
화랑대(서울여대입구),67207,8895,61219,21486
봉화산(서울의료원),52943,5991,43169,14383
신내,0,0,1,0
장암,19375,1364,11449,1802
도봉산,54241,8739,44714,17578
수락산,52379,8637,53889,18563
마들,70003,9919,68333,12766
노원,42789,20527,44943,48502
중계,68316,19228,69747,31621
하계,75192,19252,78617,30369
공릉(서울과학기술대),39704,12672,44469,29384
태릉입구,24117,9335,30407,23435
먹골,39177,6413,48637,17247
중화,41576,9168,50481,24839
상봉(시외버스터미널),57823,14242,77959,29807
면목,63105,9486,77566,35880
사가정,61112,11859,76226,28055
용마산(용마폭포공원),26204,4175,31197,10790
중곡,34967,16748,48130,30263
군자(능동),39851,9917,62311,31222
어린이대공원(세종대),21521,17237,34882,85304
건대입구,13850,20619,20820,46649
뚝섬유원지,23773,6815,32951,14533
청담,12295,66824,16830,157705
강남구청,7850,36903,11139,114248
학동,9148,57214,12771,195183
논현,9065,44075,14097,109915
반포,9008,13840,12682,20500
고속터미널,11915,37850,19331,53818
내방,20730,26847,31912,91099
이수,30822,15993,47434,44282
남성,43336,7443,61758,17753
숭실대입구(살피재),42300,8976,53316,42220
상도,38686,9131,48136,31887
장승배기,28375,8236,41874,17508
신대방삼거리,58393,9750,83828,19223
보라매,19969,10615,28563,24872
신풍,44480,12875,54829,20007
대림(구로구청),16095,7179,23646,19170
남구로,32320,32831,38335,102453
가산디지털단지,24158,133724,27737,405846
철산,93571,17365,93824,35651
광명사거리,84543,17615,95205,26613
천왕,58813,9763,64455,17399
온수(성공회대입구),50649,11877,56737,22749
까치울,0,0,0,0
신중동,0,0,0,0
부천시청,0,0,0,0
상동,0,0,0,0
굴포천,0,0,0,0
암사,89627,9647,114208,20072
천호(풍납토성),45047,15341,61133,30561
강동구청,35302,15515,45802,35244
몽촌토성(평화의문),13057,13565,19820,30359
잠실(송파구청),9734,34626,14225,84958
석촌,17655,9101,25135,21699
송파,33141,12044,38641,19323
가락시장,11214,14753,14405,40975
문정,25206,58234,35606,181411
장지,51748,31228,63220,51556
복정,30106,11938,39698,20289
산성,24998,3268,27843,10235
남한산성입구(성남법원.검찰청),60174,11719,72524,34846
단대오거리,53065,12258,60533,25557
신흥,18889,3972,23969,7210
수진,17451,6810,24915,12409
모란,9324,5316,12081,11685
남위례,20271,7854,24736,26987
개화,19241,3461,12355,5204
김포공항,7137,19488,10721,21141
공항시장,11010,2043,11927,4376
신방화,32121,5559,30334,12480
마곡나루(서울식물원),34269,20848,34292,55941
양천향교,34284,12214,34762,44234
가양,85229,31593,86678,52698
증미,24630,9700,26933,45341
등촌,50537,7546,61585,18443
염창,88239,8967,93485,22711
신목동,23621,3611,21891,6639
선유도,23953,16607,28673,44918
당산,59349,17424,68671,50191
국회의사당,4703,47551,7724,155939
여의도,9350,147416,11377,181527
샛강,5608,17038,7225,41255
노량진,71495,39861,100940,63381
노들,18760,2427,23728,4597
흑석(중앙대입구),18371,13540,22545,36023
동작(현충원),5327,1846,6188,3182
구반포,1435,2739,1944,4220
신반포,6859,8653,8524,10437
고속터미널,18944,20899,24423,30299
사평,12292,5821,15056,8560
신논현,34394,41871,46810,93158
서울역,12416,22364,16065,30159
공덕,6881,4256,6533,11854
홍대입구,11691,10830,14551,26709
디지털미디어시티,21606,32957,22485,98130
마곡나루(서울식물원),16342,31765,17303,74917
김포공항,7188,22959,15505,20451
계양,79739,5069,63008,7281
검암,38295,8022,27862,15500
청라국제도시,34935,8179,22458,19330
운서,32157,12267,29016,13160
공항화물청사,2151,13246,2403,23274
인천공항1터미널,15383,34533,18476,31073
인천공항2터미널,5976,13896,7226,16922
영종,16237,3145,12112,4083
언주,7361,22521,10764,69166
선정릉,8767,20533,10826,69251
삼성중앙,6677,18138,8196,47552
봉은사,10232,43031,11418,121134
종합운동장,10714,5767,12298,13160
삼전,22918,4369,36572,13130
석촌고분,19004,5912,31823,16779
석촌,25877,5732,35029,13326
송파나루,13880,4716,19702,13347
한성백제,8053,3282,10864,8221
올림픽공원(한국체대),17494,7085,22369,19821
둔촌오륜,3683,4445,4324,2537
중앙보훈병원,49607,13217,51014,21294
북한산우이,9921,2818,11128,7331
솔밭공원,11912,1559,12165,3304
4.19민주묘지,9792,2057,10979,15546
가오리,18798,3013,19604,6142
화계,15129,2571,15350,5620
삼양,7609,1514,8071,3613
삼양사거리,8650,2458,10133,4220
솔샘,33268,4116,31356,4747
북한산보국문,23235,5869,25307,13065
정릉,15587,3608,17855,7931
성신여대입구(돈암),4084,4409,7599,11455
보문,2284,3819,4535,5458
신설동,1399,6043,2804,13147
샛강,1571,11839,2720,26972
대방,6339,2864,11156,5319
서울지방병무청,9901,4233,13683,6018
보라매,8715,5367,13336,13388
보라매공원,6052,4574,6639,8341
보라매병원,7172,15764,8367,50315
당곡,13343,3517,19016,8344
신림,4014,1459,7272,2753
서원,14058,1115,20731,2168
서울대벤처타운,31874,6012,43094,9337
관악산(서울대),5465,4627,6112,13674
